,name,symbol,market_cap,price,volume,weighted
0,NVIDIA Corporation,NVDA,4375.303,179.3157,58526672.0,7.8
1,Microsoft Corporation,MSFT,3882.410,522.3088,5567148.0,6.9
2,Apple Inc.,AAPL,3434.959,231.46,12562669.0,6.1
3,Alphabet Inc.,GOOGL,2497.297,206.0,9411808.0,4.5
4,Alphabet Inc.,GOOG,2495.047,206.905,6527316.0,4.5
5,"Amazon.com, Inc.",AMZN,2473.297,231.91,14566584.0,4.4
6,Bitcoin,BTC,2340.777,117587.08721101646,75442987178.61009,4.2
7,Berkshire Hathaway Inc.,BRK.B,2063.309,478.29,1501293.0,3.7
8,"Meta Platforms, Inc.",META,1987.580,791.19,4452262.0,3.5
9,Broadcom Inc.,AVGO,1442.319,306.65,5358180.0,2.6
10,Taiwan Semiconductor Manufacturing Company Limited,TSM,1241.186,239.31,2608340.0,2.2
11,"Tesla, Inc.",TSLA,1072.568,332.5328,20366805.0,1.9
12,JPMorgan Chase & Co.,JPM,801.442,291.46,2155978.0,1.4
13,Walmart Inc.,WMT,796.776,99.8414,3355463.0,1.4
14,Oracle Corporation,ORCL,691.028,246.02,3265078.0,1.2
15,Visa Inc.,V,666.864,346.005,1197180.0,1.2
16,Eli Lilly and Company,LLY,653.131,690.08,2657388.0,1.2
17,Ethereum,ETH,544.622,4511.898414133634,55745138885.80865,1.0
18,"Netflix, Inc.",NFLX,527.291,1240.8999,1093820.0,0.9
19,Mastercard Incorporated,MA,524.421,584.46,533599.0,0.9
20,Exxon Mobil Corporation,XOM,455.723,106.8957,4802616.0,0.8
21,Costco Wholesale Corporation,COST,432.256,974.6976,473320.0,0.8
22,Johnson & Johnson,JNJ,423.711,175.935,1845893.0,0.8
23,Palantir Technologies Inc.,PLTR,403.531,177.4341,27788161.0,0.7
24,"The Home Depot, Inc.",HD,395.429,397.445,1045280.0,0.7
25,AbbVie Inc.,ABBV,363.099,205.54,1101065.0,0.7
26,The Procter & Gamble Company,PG,362.084,154.58,1944257.0,0.7
27,Bank of America Corporation,BAC,349.756,47.22,6994967.0,0.6
28,Sap Se,SAP,324.835,278.59,277784.0,0.6
29,Chevron Corporation,CVX,319.884,156.24,2087304.0,0.6
30,The Coca-Cola Company,KO,300.590,69.845,2946615.0,0.5
31,ASML Holding N.V.,ASML,293.076,745.3619,662554.0,0.5
32,Alibaba Group Holding Limited,BABA,289.579,121.455,4538293.0,0.5
33,"Advanced Micro Devices, Inc.",AMD,287.697,177.28,19187047.0,0.5
34,"T-Mobile US, Inc.",TMUS,283.685,252.07,617827.0,0.5
35,GE Aerospace,GE,283.105,266.9689,1737449.0,0.5
36,UnitedHealth Group Incorporated,UNH,274.963,303.6,30847016.0,0.5
37,"Cisco Systems, Inc.",CSCO,266.231,67.23,9673335.0,0.5
38,Philip Morris International Inc.,PM,256.791,164.97,1111405.0,0.5
39,Toyota Motor Corporation,TM,253.174,194.11,35003.0,0.5
40,Wells Fargo & Company,WFC,250.893,78.32,2903892.0,0.5
41,AstraZeneca PLC,AZN,244.130,78.755,1000313.0,0.4
42,Novartis AG,NVS,238.981,123.45,206508.0,0.4
43,Morgan Stanley,MS,233.413,146.2175,1133960.0,0.4
44,Novo Nordisk A/S,NVO,230.199,51.805,5409994.0,0.4
45,"Salesforce, Inc.",CRM,229.865,240.445,3410432.0,0.4
