,name,symbol,market_cap,price,volume,weighted
0,NVIDIA Corporation,NVDA,4457.880,182.7,121536404.0,8.0
1,Microsoft Corporation,MSFT,3880.412,522.04,15496974.0,7.0
2,Apple Inc.,AAPL,3403.646,229.35,110755700.0,6.1
3,Alphabet Inc.,GOOGL,2440.606,201.42,39091350.0,4.4
4,Alphabet Inc.,GOOG,2439.291,202.09,23662102.0,4.4
5,"Amazon.com, Inc.",AMZN,2374.967,222.69,31104720.0,4.3
6,Bitcoin,BTC,2318.820,116501.06866401162,55607039784.47537,4.2
7,Berkshire Hathaway Inc.,BRK-B,2012.452,465.4,2516944.0,3.6
8,"Meta Platforms, Inc.",META,1932.453,769.3,7256204.0,3.5
9,Broadcom Inc.,AVGO,1434.417,304.97,12252646.0,2.6
10,Taiwan Semiconductor Manufacturing Company Limited,TSM,1254.256,241.83,10533955.0,2.2
11,"Tesla, Inc.",TSLA,1063.270,329.65,90602186.0,1.9
12,Walmart Inc.,WMT,827.809,103.73,10621643.0,1.5
13,JPMorgan Chase & Co.,JPM,794.018,288.76,5736496.0,1.4
14,Oracle Corporation,ORCL,702.348,250.05,7138433.0,1.3
15,Visa Inc.,V,648.841,336.78,4875432.0,1.2
16,Eli Lilly and Company,LLY,592.951,625.65,13314106.0,1.1
17,Mastercard Incorporated,MA,515.322,574.32,2907345.0,0.9
18,"Netflix, Inc.",NFLX,514.857,1211.64,3802607.0,0.9
19,Ethereum,ETH,486.709,4032.08399067835,42423365714.717804,0.9
20,Exxon Mobil Corporation,XOM,455.315,106.8,14412346.0,0.8
21,Costco Wholesale Corporation,COST,435.042,980.98,2127056.0,0.8
22,Palantir Technologies Inc.,PLTR,423.074,186.96,62299744.0,0.8
23,Johnson & Johnson,JNJ,417.438,173.33,7685885.0,0.8
24,"The Home Depot, Inc.",HD,385.883,387.85,2318857.0,0.7
25,The Procter & Gamble Company,PG,359.577,153.51,4278345.0,0.7
26,AbbVie Inc.,ABBV,349.867,198.05,4100981.0,0.6
27,Bank of America Corporation,BAC,340.794,46.01,25802275.0,0.6
28,Sap Se,SAP,340.203,292.12,1159690.0,0.6
29,Chevron Corporation,CVX,317.366,155.01,5250212.0,0.6
30,The Coca-Cola Company,KO,302.720,70.34,7581735.0,0.5
31,GE Aerospace,GE,291.632,275.01,2704561.0,0.5
32,Alibaba Group Holding Limited,BABA,286.994,120.36,9743514.0,0.5
33,"Cisco Systems, Inc.",CSCO,284.288,71.79,31117798.0,0.5
34,ASML Holding N.V.,ASML,284.016,722.32,1039539.0,0.5
35,"Advanced Micro Devices, Inc.",AMD,280.113,172.76,68236751.0,0.5
36,"T-Mobile US, Inc.",TMUS,275.705,244.98,4227725.0,0.5
37,Philip Morris International Inc.,PM,264.900,170.18,3772707.0,0.5
