,name,symbol,market_cap,price,volume,type,list_date,weighted
0,NVIDIA Corporation,NVDA,4402.980,180.45,156602161.0,CS,1999-01-22 00:00:00+00:00,9.4
1,Microsoft Corporation,MSFT,3866.512,520.17,25213272.0,CS,1986-03-13 00:00:00+00:00,8.3
2,Apple Inc.,AAPL,3436.888,231.59,56038657.0,CS,1980-12-12 00:00:00+00:00,7.4
3,Alphabet Inc.,GOOG,2471.461,204.91,21111380.0,CS,2004-08-19 00:00:00+00:00,5.3
4,Alphabet Inc.,GOOGL,2471.451,203.9,34931422.0,CS,2004-08-19 00:00:00+00:00,5.3
5,"Amazon.com, Inc.",AMZN,2463.912,231.03,39649244.0,CS,1997-05-15 00:00:00+00:00,5.3
6,Bitcoin,BTC,2337.146,117398.11931662784,48046661866.383064,CC,2010-07-13 00:00:00+00:00,5.0
7,Berkshire Hathaway Inc.,BRK.B,2061.801,477.2,4381275.0,CS,1996-05-09 00:00:00+00:00,4.4
8,"Meta Platforms, Inc.",META,1972.608,785.23,13375361.0,CS,2012-05-18 00:00:00+00:00,4.2
9,Broadcom Inc.,AVGO,1440.861,306.34,22806938.0,CS,2009-08-06 00:00:00+00:00,3.1
10,Taiwan Semiconductor Manufacturing Company Limited,TSM,1238.961,238.88,7021597.0,ADRC,1997-10-08 00:00:00+00:00,2.7
11,"Tesla, Inc.",TSLA,1066.205,330.56,72949844.0,CS,2010-06-29 00:00:00+00:00,2.3
12,JPMorgan Chase & Co.,JPM,798.775,290.49,7301669.0,CS,1969-03-05 00:00:00+00:00,1.7
13,Walmart Inc.,WMT,798.042,100.0,10028284.0,CS,1970-10-01 00:00:00+00:00,1.7
14,Oracle Corporation,ORCL,697.376,248.28,11506982.0,CS,1986-03-12 00:00:00+00:00,1.5
15,Visa Inc.,V,663.747,344.47,4088373.0,CS,2008-03-19 00:00:00+00:00,1.4
16,Eli Lilly and Company,LLY,663.684,701.23,8116656.0,CS,1970-07-09 00:00:00+00:00,1.4
17,Ethereum,ETH,538.967,4465.052476978233,34762949019.42444,CC,2015-08-07 00:00:00+00:00,1.2
18,"Netflix, Inc.",NFLX,526.462,1238.95,2767804.0,CS,2002-05-23 00:00:00+00:00,1.1
19,Mastercard Incorporated,MA,521.944,581.7,2263548.0,CS,2006-05-25 00:00:00+00:00,1.1
20,Exxon Mobil Corporation,XOM,453.993,106.49,18819010.0,CS,1920-03-25 00:00:00+00:00,1.0
21,Costco Wholesale Corporation,COST,431.077,972.04,1638281.0,CS,1982-03-02 00:00:00+00:00,0.9
22,Johnson & Johnson,JNJ,425.409,176.64,9457902.0,CS,1944-09-25 00:00:00+00:00,0.9
23,Palantir Technologies Inc.,PLTR,402.931,177.17,60288736.0,CS,2020-09-30 00:00:00+00:00,0.9
24,"The Home Depot, Inc.",HD,397.354,399.38,3820080.0,CS,1981-09-22 00:00:00+00:00,0.8
25,AbbVie Inc.,ABBV,365.130,206.69,3277824.0,CS,2012-12-10 00:00:00+00:00,0.8
26,The Procter & Gamble Company,PG,361.568,154.36,7112465.0,CS,1950-03-22 00:00:00+00:00,0.8
27,Bank of America Corporation,BAC,347.682,46.94,22267937.0,CS,1973-01-02 00:00:00+00:00,0.8
28,Sap Se,SAP,323.972,277.85,1292617.0,ADRC,1995-09-18 00:00:00+00:00,0.7
29,Chevron Corporation,CVX,320.519,156.55,11576645.0,CS,1970-01-02 00:00:00+00:00,0.7
30,The Coca-Cola Company,KO,300.913,69.92,9804452.0,CS,1924-09-26 00:00:00+00:00,0.7
31,ASML Holding N.V.,ASML,291.817,742.16,1635071.0,ADRC,1995-03-15 00:00:00+00:00,0.6
32,"Advanced Micro Devices, Inc.",AMD,288.070,177.51,50736468.0,CS,1973-01-02 00:00:00+00:00,0.6
33,"T-Mobile US, Inc.",TMUS,286.566,254.63,3939554.0,CS,2007-04-19 00:00:00+00:00,0.6
34,GE Aerospace,GE,284.039,267.85,4106791.0,CS,1892-06-23 00:00:00+00:00,0.6
35,Alibaba Group Holding Limited,BABA,281.218,121.26,10732353.0,ADRC,2014-09-19 00:00:00+00:00,0.6
36,UnitedHealth Group Incorporated,UNH,275.334,304.01,67495749.0,CS,1984-10-17 00:00:00+00:00,0.6
37,"Cisco Systems, Inc.",CSCO,262.152,66.2,40877322.0,CS,1990-02-16 00:00:00+00:00,0.6
38,Philip Morris International Inc.,PM,258.690,166.19,4024279.0,CS,2008-03-31 00:00:00+00:00,0.6
39,Toyota Motor Corporation,TM,252.405,193.66,225790.0,ADRC,1976-08-18 00:00:00+00:00,0.5
40,Wells Fargo & Company,WFC,246.985,77.1,12499953.0,CS,1962-12-10 00:00:00+00:00,0.5
41,AstraZeneca PLC,AZN,245.417,79.17,4760857.0,ADRC,1993-05-18 00:00:00+00:00,0.5
42,Novartis AG,NVS,240.452,124.21,1178141.0,ADRC,1996-11-07 00:00:00+00:00,0.5
43,Novo Nordisk A/S,NVO,232.887,52.41,14494971.0,ADRC,1981-04-30 00:00:00+00:00,0.5
44,"Salesforce, Inc.",CRM,231.773,242.44,12817047.0,CS,2004-06-23 00:00:00+00:00,0.5
45,Morgan Stanley,MS,230.879,144.63,4983142.0,CS,1986-03-21 00:00:00+00:00,0.5
46,Abbott Laboratories,ABT,229.306,131.75,6778187.0,CS,1949-04-19 00:00:00+00:00,0.5
47,Linde plc,LIN,225.114,480.08,1951311.0,CS,1992-06-01 00:00:00+00:00,0.5
48,HSBC Holdings plc,HSBC,224.977,63.87,1692748.0,ADRC,1995-05-11 00:00:00+00:00,0.5
49,International Business Machines Corporation,IBM,223.304,239.72,3479140.0,CS,1949-01-28 00:00:00+00:00,0.5
50,"The Goldman Sachs Group, Inc.",GS,221.204,730.72,1418469.0,CS,1999-05-04 00:00:00+00:00,0.5
51,McDonald's Corporation,MCD,220.454,308.93,2789648.0,CS,1966-07-05 00:00:00+00:00,0.5
52,American Express Company,AXP,212.571,305.47,2726998.0,CS,1972-06-01 00:00:00+00:00,0.5
53,Shell plc,SHEL,212.392,71.85,2975117.0,ADRC,1984-03-12 00:00:00+00:00,0.5
54,"Merck & Co., Inc.",MRK,210.338,84.21,8021876.0,CS,1949-04-20 00:00:00+00:00,0.5
55,The Walt Disney Company,DIS,207.463,115.39,5091351.0,CS,1962-01-02 00:00:00+00:00,0.4
56,AT&T Inc.,T,206.432,28.87,37008014.0,CS,1946-11-01 00:00:00+00:00,0.4
57,RTX Corporation,RTX,206.256,154.09,4592664.0,CS,1951-05-25 00:00:00+00:00,0.4
58,Blackstone Inc.,BX,205.956,171.62,3212346.0,CS,2007-06-22 00:00:00+00:00,0.4
59,"PepsiCo, Inc.",PEP,205.936,150.419,9162178.0,CS,1919-12-18 00:00:00+00:00,0.4
60,Intuit Inc.,INTU,199.932,716.74,1751759.0,CS,1993-03-12 00:00:00+00:00,0.4
61,"Uber Technologies, Inc.",UBER,193.110,92.6,13232066.0,CS,2019-05-10 00:00:00+00:00,0.4
62,Royal Bank of Canada,RY,192.405,136.43,771992.0,CS,1995-10-16 00:00:00+00:00,0.4
63,HDFC Bank Limited,HDB,191.873,75.0,1482646.0,ADRC,2001-07-20 00:00:00+00:00,0.4
64,Caterpillar Inc.,CAT,191.041,407.79,3101383.0,CS,1929-12-02 00:00:00+00:00,0.4
65,Verizon Communications Inc.,VZ,186.530,44.24,21223434.0,CS,1983-11-21 00:00:00+00:00,0.4
