,name,symbol,market_cap,price,volume,type,list_date,weighted
0,NVIDIA Corporation,NVDA,4342.956,177.99,171147190.0,CS,1999-01-22 00:00:00+00:00,9.3
1,Microsoft Corporation,MSFT,3770.327,507.23,24287463.0,CS,1986-03-13 00:00:00+00:00,8.1
2,Apple Inc.,AAPL,3380.049,227.76,42162846.0,CS,1980-12-12 00:00:00+00:00,7.2
3,Alphabet Inc.,GOOG,2495.875,206.72,25616791.0,CS,2004-08-19 00:00:00+00:00,5.3
4,Alphabet Inc.,GOOGL,2495.874,206.09,42737359.0,CS,2004-08-19 00:00:00+00:00,5.3
5,"Amazon.com, Inc.",AMZN,2440.556,228.84,27884257.0,CS,1997-05-15 00:00:00+00:00,5.2
6,Bitcoin,BTC,2296.816,115356.43771587293,54215853514.154305,CC,2010-07-13 00:00:00+00:00,4.9
7,Berkshire Hathaway Inc.,BRK.B,2111.650,489.0,4195089.0,CS,1996-05-09 00:00:00+00:00,4.5
8,"Meta Platforms, Inc.",META,1896.138,754.79,10556176.0,CS,2012-05-18 00:00:00+00:00,4.1
9,Broadcom Inc.,AVGO,1382.820,294.0,16273677.0,CS,2009-08-06 00:00:00+00:00,3.0
10,Taiwan Semiconductor Manufacturing Company Limited,TSM,1208.413,232.99,10262169.0,ADRC,1997-10-08 00:00:00+00:00,2.6
11,"Tesla, Inc.",TSLA,1096.685,340.01,93186408.0,CS,2010-06-29 00:00:00+00:00,2.4
12,JPMorgan Chase & Co.,JPM,814.586,296.24,6662100.0,CS,1969-03-05 00:00:00+00:00,1.7
13,Walmart Inc.,WMT,772.744,96.83,29035830.0,CS,1970-10-01 00:00:00+00:00,1.7
14,Visa Inc.,V,674.479,350.04,4957835.0,CS,2008-03-19 00:00:00+00:00,1.4
15,Eli Lilly and Company,LLY,673.575,711.68,2779992.0,CS,1970-07-09 00:00:00+00:00,1.4
16,Oracle Corporation,ORCL,663.923,236.37,7425169.0,CS,1986-03-12 00:00:00+00:00,1.4
17,Ethereum,ETH,578.413,4791.868554597846,34911740059.01749,CC,2015-08-07 00:00:00+00:00,1.2
