,symbol,name,market_cap,mic,list_date,cik,composite_figi,outstanding_shares,postal_code,state,country,type,volume,closing_price,weighted
17,NFLX,Netflix Inc,518.444,XNAS,2002-05-23 00:00:00,0001065280,BBG000CL9VN6,424930000.0,,,US,Common Stock,45460487.93333333,,1.1
18,MA,Mastercard Inc,503.969,XNYS,2006-05-25 00:00:00,0001141391,BBG000F1ZSQ2,904010000.0,,,US,Common Stock,2736644.8333333335,,1.1
19,XOM,Exxon Mobil Corp,490.593,XNYS,1980-03-17 00:00:00,0000034088,BBG000GZQ728,4263250000.0,,,US,Common Stock,13925138.933333334,,1.1
20,JNJ,Johnson & Johnson,459.318,XNYS,1944-09-25 00:00:00,0000200406,BBG000BMHYD1,2408340000.0,,,US,Common Stock,8715439.366666667,,1.0
21,PLTR,Palantir Technologies Inc,416.204,XNAS,2020-09-30 00:00:00,0001321655,BBG000N7QR55,2371340000.0,,,US,Common Stock,55237895.2,,0.9
22,COST,Costco Wholesale Corp,412.161,XNAS,1985-12-05 00:00:00,0000909832,BBG000F6H8W8,443240000.0,,,US,Common Stock,2375468.8,,0.9
23,ABBV,AbbVie Inc,407.192,XNYS,2013-01-02 00:00:00,0001551152,BBG0025Y4RY4,1766560000.0,,,US,Common Stock,5806109.833333333,,0.9
24,HD,Home Depot Inc,374.017,XNYS,1984-04-19 00:00:00,0000354950,BBG000BKZB36,995390000.0,,,US,Common Stock,3937260.6333333333,,0.8
25,BABA,"Alibaba Group Holding Limited American Depositary Shares, each represents eight Ordinary Shares",368.744,XNYS,2014-09-19 00:00:00,0001577552,BBG006G2JVL2,2384078936.0,,,,ADR,14455417.566666666,,0.8
26,ETH,Ethereum,363.839,,2015-08-07T00:00:00.000Z,,,120695439.03201866,,,,Crypto,909574990397.6873,3014.5208597931164,0.8
27,BAC,Bank of America Corporation,360.348,XNYS,1973-01-02 00:00:00,0000070858,BBG000BCTLF6,7406947312.0,28255,NC,,Common Stock,35268694.733333334,,0.8
28,PG,Procter & Gamble Co,350.347,XNYS,1950-03-22 00:00:00,0000080424,BBG000BR2TH3,2340490000.0,,,US,Common Stock,8616818.7,,0.8
29,AMD,Advanced Micro Devices Inc,348.749,XNAS,1979-10-15 00:00:00,0000002488,BBG000BBQCY0,1622840000.0,,,US,Common Stock,53244017.56666667,,0.8
30,UNH,UNITEDHEALTH GROUP INCORPORATED (Delaware),321.061,XNYS,1984-10-17 00:00:00,0000731766,BBG000CH5208,905673625.0,55344,MN,,Common Stock,8402154.2,,0.7
31,SAP,SAP SE,309.237,XNYS,1995-09-18 00:00:00,0001000184,BBG000BDSLD7,1228504232.0,,,,ADR,1623822.1,,0.7
32,GE,GE Aerospace,309.107,XNYS,1892-06-23 00:00:00,0000040545,BBG000BK6MB5,1060439387.0,45215,OH,,Common Stock,4169068.6,,0.7
33,CVX,Chevron Corp,304.857,XNYS,1921-06-24 00:00:00,0000093410,BBG000K4ND22,2047390000.0,,,US,Common Stock,8002866.933333334,,0.7
34,KO,Coca-Cola Co,288.518,XNYS,1950-01-26 00:00:00,0000021344,BBG000BMX289,4303670000.0,,,US,Common Stock,16807802.1,,0.6
35,CSCO,Cisco Systems Inc,268.580,XNAS,1990-02-16 00:00:00,0000858877,BBG000C3J3C9,3953200000.0,,,US,Common Stock,22437566.566666666,,0.6
36,AZN,AstraZeneca PLC,262.087,XNAS,1993-05-18 00:00:00,0000901832,BBG000BZ0DK8,3101385926.0,,,,ADR,4855320.133333334,,0.6
37,IBM,International Business Machines Corporation,258.795,XNYS,1949-01-28 00:00:00,0000051143,BBG000BLNNH6,929396575.0,10504,NY,,Common Stock,5774192.833333333,,0.6
38,TMUS,T-Mobile US Inc,257.485,XNAS,2007-04-19 00:00:00,0001283699,BBG000NDV1D4,1125420000.0,,,US,Common Stock,5446786.633333334,,0.6
39,NVO,Novo-Nordisk A/S,252.964,XNYS,1981-04-30 00:00:00,0000353278,BBG000BQBKR3,3390128000.0,,,,ADR,19694363.333333332,,0.5
40,NVS,Novartis AG,251.719,XNYS,1996-11-07 00:00:00,0001114448,BBG000LYF3S8,2112421867.0,,,,ADR,1752827.8333333333,,0.5
41,PM,Philip Morris International Inc,249.786,XNYS,2008-03-17 00:00:00,0001413329,BBG000J2XL74,1556590000.0,,,US,Common Stock,6999448.7,,0.5
42,WFC,Wells Fargo & Co,248.651,XNYS,1962-12-10 00:00:00,0000072971,BBG000BWQFY7,3203440000.0,,,US,Common Stock,14682293.5,,0.5
43,MS,Morgan Stanley,242.412,XNYS,1986-03-21 00:00:00,0000895421,BBG000BLZRJ2,1596340000.0,,,US,Common Stock,5299672.766666667,,0.5
44,TM,Toyota Motor Corporation American Depositary Shares (Each representing ten Ordinary Shares),241.415,XNYS,1976-08-18 00:00:00,0001094517,BBG000BPH299,1579498746.0,,,,ADR,280999.73333333334,,0.5
45,GS,Goldman Sachs Group Inc.,231.388,XNYS,1999-05-04 00:00:00,0000886982,BBG000C6CFJ5,302721092.0,10282,NY,,Common Stock,1934506.6,,0.5
46,ABT,Abbott Laboratories,230.733,XNYS,1937-03-01 00:00:00,0000001800,BBG000B9ZXB4,1740460000.0,,,US,Common Stock,6319280.3,,0.5
47,CAT,Caterpillar Inc,230.164,XNYS,1929-12-02 00:00:00,0000018230,BBG000BF0K17,468480000.0,,,US,Common Stock,2703957.8333333335,,0.5
48,CRM,Salesforce Inc,230.079,XNYS,2004-06-23 00:00:00,0001108524,BBG000BN2DC2,952000000.0,,,US,Common Stock,7210636.633333334,,0.5
49,HSBC,HSBC Holdings PLC,227.272,XNYS,1995-05-11 00:00:00,0001089113,BBG000C1K7N0,3458952888.0,,,,ADR,1844424.6666666667,,0.5
50,AXP,American Express Co,220.080,XNYS,1977-05-18 00:00:00,0000004962,BBG000BCQZS4,695880000.0,,,US,Common Stock,2436584.7,,0.5
51,MRK,Merck & Co Inc,214.784,XNYS,1941-01-01 00:00:00,0000310158,BBG000BPD168,2497780000.0,,,US,Common Stock,13519660.3,,0.5
52,LIN,Linde PLC,212.801,XNAS,2018-10-31 00:00:00,0001707925,BBG01FND0CC1,468910000.0,,,GB,Common Stock,2737962.5,,0.5
53,MCD,McDonald's Corp,211.948,XNYS,1965-04-21 00:00:00,0000063908,BBG000BNSZP1,713600000.0,,,US,Common Stock,3055181.3666666667,,0.5
54,RTX,RTX Corp,211.088,XNYS,1934-09-05 00:00:00,0000101829,BBG000BW8S60,1338540000.0,,,US,Common Stock,4669224.4,,0.5
55,SHEL,Shell plc American Depositary Shares (Each represents two Ordinary shares),206.006,XNYS,1984-03-12 00:00:00,0001306965,BBG0147BN6G2,2922792094.0,,,,ADR,4373093.766666667,,0.4
56,PEP,PepsiCo Inc,205.471,XNAS,1919-12-18 00:00:00,0000077476,BBG000DH7JK6,1369080000.0,,,US,Common Stock,6743349.1,,0.4
57,MU,Micron Technology Inc,203.840,XNAS,1984-06-01 00:00:00,0000723125,BBG000C5Z1S3,1119130000.0,,,US,Common Stock,25089389.466666665,,0.4
58,RY,Royal Bank of Canada,202.576,XNYS,1995-10-16 00:00:00,0001000275,BBG000BSSC44,1405339302.0,,,,Common Stock,1220472.5,,0.4
59,TMO,Thermo Fisher Scientific Inc,198.171,XNYS,1980-08-27 00:00:00,0000097745,BBG000BVDLH9,377610000.0,,,US,Common Stock,1782322.7333333334,,0.4
60,DIS,Walt Disney Co,196.316,XNYS,1957-11-12 00:00:00,0001744489,BBG000BH4R78,1797930000.0,,,US,Common Stock,10842328.866666667,,0.4
61,SHOP,Shopify Inc,196.284,XNAS,2015-05-21 00:00:00,0001594805,BBG008HBD923,1299660000.0,,,CA,Common Stock,9432332.066666666,,0.4
62,UBER,Uber Technologies Inc,194.778,XNYS,2019-05-10 00:00:00,0001543151,BBG002B04MT8,2085420000.0,,,US,Common Stock,18567068.233333334,,0.4
63,ANET,Arista Networks Inc,193.683,XNYS,2014-06-06 00:00:00,0001596532,BBG000N2HDY5,1256870000.0,,,US,Common Stock,8483373.6,,0.4
64,APP,Applovin Corp,192.765,XNAS,2021-04-15 00:00:00,0001751008,BBG006HFPX77,338250000.0,,,US,Common Stock,4452147.666666667,,0.4
65,BX,Blackstone Inc,188.857,XNYS,2007-06-22 00:00:00,0001393818,BBG000BH0106,1184670000.0,,,US,Common Stock,4474192.966666667,,0.4
